"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J6";"PinHeader_2x03_P2.54mm_Vertical";1;"Sel";;;
2;"U7";"DIP-8_W7.62mm";1;"TL081";;;
3;"U1";"LM2576_DB";1;"LM2576_DB";;;
4;"U2,U6,U5,U4,U3";"VSSOP-8_2.4x2.1mm_P0.5mm";5;"TS5A3357";;;
5;"C5,C4,C3,C2,C1,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"100nF";;;
6;"HS1";"TO-220_Heatsink";1;"Heatsink";;;
7;"J5";"USB_A_Stewart_SS-52100-001_Horizontal";1;"USB_A";;;
8;"J3";"TerminalBlock_Altech_AK300-4_P5.00mm";1;"Unreg 12V - charge";;;
9;"J1";"IDC-Header_2x08_P2.54mm_Vertical";1;"Locker in";;;
10;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x04";;;
11;"J10";"IDC-Header_2x08_P2.54mm_Vertical";1;"Locker out";;;
12;"L1";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Solenoid 1";;;
13;"J4";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Solenoid Power";;;
14;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1KΩ";;;
15;"R10,R9,R8,R7,R6,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"10KΩ";;;
16;"TP1";"logoinv";1;"TestPoint";;;
17;"J7";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_01x04";;;
18;"D5,D1";"D_SOD-123F";2;"1N4004";;;
19;"H4,H3,H2,H1";"MountingHole_2.2mm_M2_Pad_Via";4;"MountingHole";;;
20;"R4,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"330Ω";;;
21;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3mΩ";;;
22;"Q1";"TO-220-3_Vertical";1;"TIP102";;;
23;"D4";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Occ";;;
24;"D3";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Vac";;;
